#ADI,"Analog Devices, Inc."
#EXPE,"Expedia, Inc."
#AMGN,Amgen Inc.
#AMZN,"Amazon.com, Inc."
#VRSK,"Verisk Analytics, Inc."
#COST,Costco Wholesale Corporation
MXIM,"Maxim Integrated Products, Inc."
#HOLX,"Hologic, Inc."
#ADP,"Automatic Data Processing, Inc."
#CTAS,Cintas Corporation
#CHTR,"Charter Communications, Inc."
#FB,"Facebook, Inc."
#WDC,Western Digital Corporation

